DATE,A,B,C,D,E,,DATE CALC,YEAR,MONTH,DAY,,,
19980102 09:00,973100,975300,970300,970300,384500,,1998 01 02,1998,01,02,,Start,1998 01 02
19980102 10:00,970200,971300,965300,970500,585900,,1998 01 02,1998,01,02,,End,2021 03 31
19980102 11:00,969100,972200,968800,970000,147900,,1998 01 02,1998,01,02,,,
19980102 12:00,970000,972200,970000,971300,162200,,1998 01 02,1998,01,02,,Count,40832
19980102 13:00,972200,972200,968800,969100,247500,,1998 01 02,1998,01,02,,,
19980102 14:00,968800,970600,965300,968400,286800,,1998 01 02,1998,01,02,,,
19980102 15:00,967500,973800,967500,973600,335200,,1998 01 02,1998,01,02,,,
19980105 09:00,978400,979700,974700,976600,775200,,1998 01 05,1998,01,05,,,
19980105 10:00,976300,982500,975600,979700,570600,,1998 01 05,1998,01,05,,,
19980105 11:00,980000,984400,979400,984100,547200,,1998 01 05,1998,01,05,,,
19980105 12:00,984100,984100,979100,980900,402500,,1998 01 05,1998,01,05,,,
19980105 13:00,980900,980900,973100,975000,497700,,1998 01 05,1998,01,05,,,
19980105 14:00,975000,975300,967800,975300,838700,,1998 01 05,1998,01,05,,,
19980105 15:00,975300,977500,970300,977500,398900,,1998 01 05,1998,01,05,,,
19980106 09:00,972500,972800,967500,970600,545500,,1998 01 06,1998,01,06,,,
19980106 10:00,970600,972800,966300,970900,484100,,1998 01 06,1998,01,06,,,
19980106 11:00,970900,970900,965000,965000,419300,,1998 01 06,1998,01,06,,,
19980106 12:00,966300,968400,965300,968400,171900,,1998 01 06,1998,01,06,,,
19980106 13:00,968800,970600,966300,970600,188500,,1998 01 06,1998,01,06,,,
19980106 14:00,970600,971600,965300,967800,269200,,1998 01 06,1998,01,06,,,
19980106 15:00,968100,968800,961900,966300,743300,,1998 01 06,1998,01,06,,,
19980107 09:00,960900,964400,960000,962500,366800,,1998 01 07,1998,01,07,,,
19980107 10:00,963100,963400,957500,957500,585500,,1998 01 07,1998,01,07,,,
19980107 11:00,957500,959400,955300,958800,467900,,1998 01 07,1998,01,07,,,
19980107 12:00,956900,957800,954400,955000,572400,,1998 01 07,1998,01,07,,,
19980107 13:00,954400,958800,952200,958100,444200,,1998 01 07,1998,01,07,,,
19980107 14:00,957800,960000,955600,958800,1839100,,1998 01 07,1998,01,07,,,
19980107 15:00,959400,965000,957500,964700,949500,,1998 01 07,1998,01,07,,,
19980108 09:00,963100,963100,958400,960600,698700,,1998 01 08,1998,01,08,,,
19980108 10:00,960600,961300,955600,958800,608900,,1998 01 08,1998,01,08,,,
19980108 11:00,959100,962800,956600,957800,457500,,1998 01 08,1998,01,08,,,
19980108 12:00,958800,960000,956600,957500,322100,,1998 01 08,1998,01,08,,,
19980108 13:00,957500,960900,955800,959400,195600,,1998 01 08,1998,01,08,,,
19980108 14:00,959100,962200,957200,960300,270600,,1998 01 08,1998,01,08,,,
